Feature,Mutual_Info,Chi_Square,RF_Importance,Mutual_Info_norm,Chi_Square_norm,RF_Importance_norm,Avg_Score
gill_spore,0.606019008241093,10253.352128669429,0.11984662646773922,0.9660928723910013,1.0,0.9440637886989762,0.9700522203633258
bruises_odor,0.6267793531971302,7923.871815394867,0.12694759390454013,0.9991962814390787,0.772804112849278,1.0,0.9240001314294523
gill-color,0.29101627502033844,5957.764468807313,0.10890327837510701,0.4638052489844037,0.5810482519836435,0.8578601218468009,0.634237874271616
odor,0.6272833941721265,75.91016321767341,0.10597392924652804,1.0,0.007386779321853772,0.8347848587521595,0.6140572126913377
pop_habitat,0.3083403571635466,3719.6610083142755,0.051104067906857654,0.49142936499902423,0.3627644148787775,0.40256035057494677,0.4189180434842495
spore-print-color,0.33303286137082444,379.13272876772714,0.0715994500850772,0.530802798770277,0.036960293805615226,0.5640079333753842,0.3772570086504255
ring-type,0.21862726544863165,1950.6101464351548,0.06014009966120129,0.34837735029043004,0.19022761442202932,0.47373957876211825,0.3374481811581925
gill-size,0.16612342691936655,1636.6068327567395,0.06553416034542615,0.2646573520385205,0.15960264583444309,0.5162300310686109,0.31349667631385814
cap_gill_color,0.32903217742540525,1191.8038099624678,0.019043039771994896,0.5244235079927038,0.116220687723361,0.15000709494592354,0.26355043022066277
stalk-surface-above-ring,0.19944951474080463,222.98240041769813,0.0423798119322351,0.3177974669769479,0.021730840190490402,0.33383706322234935,0.22445512346326257
bruises,0.1406287750344848,1194.2773520082696,0.03573681363667806,0.2240048536493666,0.11646193405469857,0.2815083967920716,0.20732506149871224
stalk-surface-below-ring,0.18486999502207735,206.64818021924808,0.027429413974753406,0.29454969310827767,0.020137751969158565,0.21606879761249595,0.17691874756331072
population,0.14490221359543498,311.7667358796074,0.031194128462937648,0.23081906531225244,0.030390040161148536,0.2457244560806286,0.1689778538513432
stalk-root,0.07398517078254319,1358.358637596307,0.02081197081494054,0.11773829128433867,0.1324648996224146,0.16394143579113732,0.13804820889929684
habitat,0.10952180816266699,751.3094890647587,0.020682675676676292,0.1744032381278805,0.0732589604012146,0.1629229435591264,0.13686171402940717
gill-spacing,0.07187490628852244,826.7952744441203,0.027107499023058486,0.11437336893390883,0.08062114323607408,0.2135329878204885,0.13617583333015715
stalk-color-above-ring,0.1797180691387592,119.79221569299972,0.009478701589376314,0.2863346894432609,0.011666627400119638,0.074666256349088,0.12422252439748953
stalk-color-below-ring,0.1629105216438662,109.7894104984247,0.009028436434706053,0.25953421377695296,0.010691046629066576,0.07111939783195183,0.11378155274599044
cap_shape_surface,0.05915358919448921,262.8835300577326,0.002924150917348602,0.09408859214981115,0.02562242600695964,0.0230343154006326,0.0475817778524678
stalk-shape,0.013151625764644237,36.5941054929178,0.012423903803145663,0.02073615915037695,0.0035522559892704345,0.0978663984170348,0.04071827118556073
cap-surface,0.020508856802336606,214.06854420408231,0.007742800802176988,0.03246763225536103,0.020861465395242786,0.060992103623478566,0.038107067091360795
cap-color,0.028477206793890764,11.511381641584162,0.00651695077706308,0.04517356511761599,0.0011059199266360853,0.051335756563953346,0.03253841386940181
ring-number,0.026210638464646996,25.6463351540685,0.005710544258531747,0.041559408479214154,0.0024845120893613446,0.04498347769258127,0.02967579942038559
cap-shape,0.03983531579828692,17.508364000073946,0.001759439646233684,0.06328463837682204,0.0016908099209408912,0.01385957458600371,0.026278340961255548
gill-attachment,0.009714531760937062,3.5054468175805478,0.003604257500608236,0.015255540741465328,0.00032509535626077155,0.028391696051510068,0.014657444049745389
stalk_color_match,0.01357795905307424,65.0591911047057,0.0013773975515281461,0.021415968915946684,0.006328476222400674,0.01085012727822079,0.012864857472189383
veil-color,0.012941967910768737,5.126825679151084,0.001981510983648777,0.020401849209396687,0.00048322960052237055,0.015608889642593774,0.012164656150837611
stalk_surface_match,0.004941698364629321,19.734609314841876,0.0016660204998897655,0.007645019019842688,0.001907937224580921,0.013123687095184734,0.007558881113202781
has_ring,0.00014723046505760173,0.17218563119273492,0.0013513259499917613,0.0,0.0,0.010644754330735154,0.0035482514435783846
veil-type,0.002083424522893784,,0.0,0.00308735832804017,,0.0,
