Feature,Importance
odor,0.19879358896877294
gill-size,0.1160416805586349
spore-print-color,0.10914847597189811
gill-color,0.09415226665134306
ring-type,0.08173905335174134
stalk-root,0.059846436601045244
population,0.055980012661076224
bruises,0.053616496932873195
gill-spacing,0.03825323835154214
stalk-surface-above-ring,0.03570110775822436
habitat,0.024979271400971795
stalk-surface-below-ring,0.023741939388011824
ring-number,0.022441370950280388
stalk-color-above-ring,0.022364073313631844
stalk-shape,0.014164967849088689
stalk-color-below-ring,0.01362726498301152
cap-color,0.011732060930001712
cap-surface,0.01106543783642505
veil-color,0.004622325635473893
cap-shape,0.004256963409193458
gill-attachment,0.003731966496758088
veil-type,0.0
